Add:         0210083 Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach
Add:         037T46Z Dilation of Left Temporal Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037T476 Dilation of Left Temporal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037T47Z Dilation of Left Temporal Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037T4D6 Dilation of Left Temporal Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         037T4E6 Dilation of Left Temporal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037T4EZ Dilation of Left Temporal Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037T4F6 Dilation of Left Temporal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037T4FZ Dilation of Left Temporal Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037T4G6 Dilation of Left Temporal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037T4GZ Dilation of Left Temporal Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037T4Z6 Dilation of Left Temporal Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         037U046 Dilation of Right Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Add:         037U056 Dilation of Right Thyroid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         037U05Z Dilation of Right Thyroid Artery with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         037U066 Dilation of Right Thyroid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         037U06Z Dilation of Right Thyroid Artery with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         037U076 Dilation of Right Thyroid Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         037U07Z Dilation of Right Thyroid Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         037U0D6 Dilation of Right Thyroid Artery, Bifurcation, with Intraluminal Device, Open Approach
Add:         037U0E6 Dilation of Right Thyroid Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         037U0EZ Dilation of Right Thyroid Artery with Two Intraluminal Devices, Open Approach
Add:         037U0F6 Dilation of Right Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         037U0FZ Dilation of Right Thyroid Artery with Three Intraluminal Devices, Open Approach
Add:         037U0G6 Dilation of Right Thyroid Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         037U0GZ Dilation of Right Thyroid Artery with Four or More Intraluminal Devices, Open Approach
Add:         037U0Z6 Dilation of Right Thyroid Artery, Bifurcation, Open Approach
Add:         037U346 Dilation of Right Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         037U356 Dilation of Right Thyroid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037U35Z Dilation of Right Thyroid Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037U366 Dilation of Right Thyroid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037U36Z Dilation of Right Thyroid Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037U376 Dilation of Right Thyroid Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037U37Z Dilation of Right Thyroid Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037U3D6 Dilation of Right Thyroid Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Add:         037U3E6 Dilation of Right Thyroid Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         037U3EZ Dilation of Right Thyroid Artery with Two Intraluminal Devices, Percutaneous Approach
Add:         037U3F6 Dilation of Right Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         037U3FZ Dilation of Right Thyroid Artery with Three Intraluminal Devices, Percutaneous Approach
Add:         037U3G6 Dilation of Right Thyroid Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         037U3GZ Dilation of Right Thyroid Artery with Four or More Intraluminal Devices, Percutaneous Approach
Add:         037U3Z6 Dilation of Right Thyroid Artery, Bifurcation, Percutaneous Approach
Add:         037U446 Dilation of Right Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         037U456 Dilation of Right Thyroid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037U45Z Dilation of Right Thyroid Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037U466 Dilation of Right Thyroid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037U46Z Dilation of Right Thyroid Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037U476 Dilation of Right Thyroid Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037U47Z Dilation of Right Thyroid Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037U4D6 Dilation of Right Thyroid Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         037U4E6 Dilation of Right Thyroid Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037U4EZ Dilation of Right Thyroid Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037U4F6 Dilation of Right Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037U4FZ Dilation of Right Thyroid Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037U4G6 Dilation of Right Thyroid Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037U4GZ Dilation of Right Thyroid Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037U4Z6 Dilation of Right Thyroid Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         037V046 Dilation of Left Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Add:         037V056 Dilation of Left Thyroid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         037V05Z Dilation of Left Thyroid Artery with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         037V066 Dilation of Left Thyroid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         037V06Z Dilation of Left Thyroid Artery with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         037V076 Dilation of Left Thyroid Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         037V07Z Dilation of Left Thyroid Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         037V0D6 Dilation of Left Thyroid Artery, Bifurcation, with Intraluminal Device, Open Approach
Add:         037V0E6 Dilation of Left Thyroid Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         037V0EZ Dilation of Left Thyroid Artery with Two Intraluminal Devices, Open Approach
Add:         037V0F6 Dilation of Left Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         037V0FZ Dilation of Left Thyroid Artery with Three Intraluminal Devices, Open Approach
Add:         037V0G6 Dilation of Left Thyroid Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         037V0GZ Dilation of Left Thyroid Artery with Four or More Intraluminal Devices, Open Approach
Add:         037V0Z6 Dilation of Left Thyroid Artery, Bifurcation, Open Approach
Add:         037V346 Dilation of Left Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         037V356 Dilation of Left Thyroid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037V35Z Dilation of Left Thyroid Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037V366 Dilation of Left Thyroid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037V36Z Dilation of Left Thyroid Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037V376 Dilation of Left Thyroid Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037V37Z Dilation of Left Thyroid Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037V3D6 Dilation of Left Thyroid Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Add:         037V3E6 Dilation of Left Thyroid Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         037V3EZ Dilation of Left Thyroid Artery with Two Intraluminal Devices, Percutaneous Approach
Add:         037V3F6 Dilation of Left Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         037V3FZ Dilation of Left Thyroid Artery with Three Intraluminal Devices, Percutaneous Approach
Add:         037V3G6 Dilation of Left Thyroid Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         037V3GZ Dilation of Left Thyroid Artery with Four or More Intraluminal Devices, Percutaneous Approach
Add:         037V3Z6 Dilation of Left Thyroid Artery, Bifurcation, Percutaneous Approach
Add:         037V446 Dilation of Left Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         037V456 Dilation of Left Thyroid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037V45Z Dilation of Left Thyroid Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037V466 Dilation of Left Thyroid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037V46Z Dilation of Left Thyroid Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037V476 Dilation of Left Thyroid Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037V47Z Dilation of Left Thyroid Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037V4D6 Dilation of Left Thyroid Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         037V4E6 Dilation of Left Thyroid Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037V4EZ Dilation of Left Thyroid Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037V4F6 Dilation of Left Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037V4FZ Dilation of Left Thyroid Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037V4G6 Dilation of Left Thyroid Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037V4GZ Dilation of Left Thyroid Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037V4Z6 Dilation of Left Thyroid Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         037Y046 Dilation of Upper Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Add:         037Y056 Dilation of Upper Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         037Y05Z Dilation of Upper Artery with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         037Y066 Dilation of Upper Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         037Y06Z Dilation of Upper Artery with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         037Y076 Dilation of Upper Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         037Y07Z Dilation of Upper Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         037Y0D6 Dilation of Upper Artery, Bifurcation, with Intraluminal Device, Open Approach
Add:         037Y0E6 Dilation of Upper Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         037Y0EZ Dilation of Upper Artery with Two Intraluminal Devices, Open Approach
Add:         037Y0F6 Dilation of Upper Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         037Y0FZ Dilation of Upper Artery with Three Intraluminal Devices, Open Approach
Add:         037Y0G6 Dilation of Upper Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         037Y0GZ Dilation of Upper Artery with Four or More Intraluminal Devices, Open Approach
Add:         037Y0Z6 Dilation of Upper Artery, Bifurcation, Open Approach
Add:         037Y346 Dilation of Upper Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         037Y356 Dilation of Upper Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037Y35Z Dilation of Upper Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037Y366 Dilation of Upper Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037Y36Z Dilation of Upper Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037Y376 Dilation of Upper Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037Y37Z Dilation of Upper Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         037Y3D6 Dilation of Upper Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Add:         037Y3E6 Dilation of Upper Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         037Y3EZ Dilation of Upper Artery with Two Intraluminal Devices, Percutaneous Approach
Add:         037Y3F6 Dilation of Upper Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         037Y3FZ Dilation of Upper Artery with Three Intraluminal Devices, Percutaneous Approach
Add:         037Y3G6 Dilation of Upper Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         037Y3GZ Dilation of Upper Artery with Four or More Intraluminal Devices, Percutaneous Approach
Add:         037Y3Z6 Dilation of Upper Artery, Bifurcation, Percutaneous Approach
Add:         037Y446 Dilation of Upper Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         037Y456 Dilation of Upper Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037Y45Z Dilation of Upper Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037Y466 Dilation of Upper Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037Y46Z Dilation of Upper Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037Y476 Dilation of Upper Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037Y47Z Dilation of Upper Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037Y4D6 Dilation of Upper Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         037Y4E6 Dilation of Upper Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037Y4EZ Dilation of Upper Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037Y4F6 Dilation of Upper Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037Y4FZ Dilation of Upper Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037Y4G6 Dilation of Upper Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037Y4GZ Dilation of Upper Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         037Y4Z6 Dilation of Upper Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03C00Z6 Extirpation of Matter from Right Internal Mammary Artery, Bifurcation, Open Approach
Add:         03C03Z6 Extirpation of Matter from Right Internal Mammary Artery, Bifurcation, Percutaneous Approach
Add:         03C04Z6 Extirpation of Matter from Right Internal Mammary Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03C10Z6 Extirpation of Matter from Left Internal Mammary Artery, Bifurcation, Open Approach
Add:         03C13Z6 Extirpation of Matter from Left Internal Mammary Artery, Bifurcation, Percutaneous Approach
Add:         03C14Z6 Extirpation of Matter from Left Internal Mammary Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03C20Z6 Extirpation of Matter from Innominate Artery, Bifurcation, Open Approach
Add:         03C23Z6 Extirpation of Matter from Innominate Artery, Bifurcation, Percutaneous Approach
Add:         03C24Z6 Extirpation of Matter from Innominate Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03C30Z6 Extirpation of Matter from Right Subclavian Artery, Bifurcation, Open Approach
Add:         03C33Z6 Extirpation of Matter from Right Subclavian Artery, Bifurcation, Percutaneous Approach
Add:         03C34Z6 Extirpation of Matter from Right Subclavian Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03C40Z6 Extirpation of Matter from Left Subclavian Artery, Bifurcation, Open Approach
Add:         03C43Z6 Extirpation of Matter from Left Subclavian Artery, Bifurcation, Percutaneous Approach
Add:         03C44Z6 Extirpation of Matter from Left Subclavian Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03C50Z6 Extirpation of Matter from Right Axillary Artery, Bifurcation, Open Approach
Add:         03C53Z6 Extirpation of Matter from Right Axillary Artery, Bifurcation, Percutaneous Approach
Add:         03C54Z6 Extirpation of Matter from Right Axillary Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03C60Z6 Extirpation of Matter from Left Axillary Artery, Bifurcation, Open Approach
Add:         03C63Z6 Extirpation of Matter from Left Axillary Artery, Bifurcation, Percutaneous Approach
Add:         03C64Z6 Extirpation of Matter from Left Axillary Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03C70Z6 Extirpation of Matter from Right Brachial Artery, Bifurcation, Open Approach
Add:         03C73Z6 Extirpation of Matter from Right Brachial Artery, Bifurcation, Percutaneous Approach
Add:         03C74Z6 Extirpation of Matter from Right Brachial Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03C80Z6 Extirpation of Matter from Left Brachial Artery, Bifurcation, Open Approach
Add:         03C83Z6 Extirpation of Matter from Left Brachial Artery, Bifurcation, Percutaneous Approach
Add:         03C84Z6 Extirpation of Matter from Left Brachial Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03C90Z6 Extirpation of Matter from Right Ulnar Artery, Bifurcation, Open Approach
Add:         03C93Z6 Extirpation of Matter from Right Ulnar Artery, Bifurcation, Percutaneous Approach
Add:         03C94Z6 Extirpation of Matter from Right Ulnar Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CA0Z6 Extirpation of Matter from Left Ulnar Artery, Bifurcation, Open Approach
Add:         03CA3Z6 Extirpation of Matter from Left Ulnar Artery, Bifurcation, Percutaneous Approach
Add:         03CA4Z6 Extirpation of Matter from Left Ulnar Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CB0Z6 Extirpation of Matter from Right Radial Artery, Bifurcation, Open Approach
Add:         03CB3Z6 Extirpation of Matter from Right Radial Artery, Bifurcation, Percutaneous Approach
Add:         03CB4Z6 Extirpation of Matter from Right Radial Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CC0Z6 Extirpation of Matter from Left Radial Artery, Bifurcation, Open Approach
Add:         03CC3Z6 Extirpation of Matter from Left Radial Artery, Bifurcation, Percutaneous Approach
Add:         03CC4Z6 Extirpation of Matter from Left Radial Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CD0Z6 Extirpation of Matter from Right Hand Artery, Bifurcation, Open Approach
Add:         03CD3Z6 Extirpation of Matter from Right Hand Artery, Bifurcation, Percutaneous Approach
Add:         03CD4Z6 Extirpation of Matter from Right Hand Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CF0Z6 Extirpation of Matter from Left Hand Artery, Bifurcation, Open Approach
Add:         03CF3Z6 Extirpation of Matter from Left Hand Artery, Bifurcation, Percutaneous Approach
Add:         03CF4Z6 Extirpation of Matter from Left Hand Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CG0Z6 Extirpation of Matter from Intracranial Artery, Bifurcation, Open Approach
Add:         03CG3Z6 Extirpation of Matter from Intracranial Artery, Bifurcation, Percutaneous Approach
Add:         03CG4Z6 Extirpation of Matter from Intracranial Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CH0Z6 Extirpation of Matter from Right Common Carotid Artery, Bifurcation, Open Approach
Add:         03CH3Z6 Extirpation of Matter from Right Common Carotid Artery, Bifurcation, Percutaneous Approach
Add:         03CH4Z6 Extirpation of Matter from Right Common Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CJ0Z6 Extirpation of Matter from Left Common Carotid Artery, Bifurcation, Open Approach
Add:         03CJ3Z6 Extirpation of Matter from Left Common Carotid Artery, Bifurcation, Percutaneous Approach
Add:         03CJ4Z6 Extirpation of Matter from Left Common Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CK0Z6 Extirpation of Matter from Right Internal Carotid Artery, Bifurcation, Open Approach
Add:         03CK3Z6 Extirpation of Matter from Right Internal Carotid Artery, Bifurcation, Percutaneous Approach
Add:         03CK4Z6 Extirpation of Matter from Right Internal Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CL0Z6 Extirpation of Matter from Left Internal Carotid Artery, Bifurcation, Open Approach
Add:         03CL3Z6 Extirpation of Matter from Left Internal Carotid Artery, Bifurcation, Percutaneous Approach
Add:         03CL4Z6 Extirpation of Matter from Left Internal Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CM0Z6 Extirpation of Matter from Right External Carotid Artery, Bifurcation, Open Approach
Add:         03CM3Z6 Extirpation of Matter from Right External Carotid Artery, Bifurcation, Percutaneous Approach
Add:         03CM4Z6 Extirpation of Matter from Right External Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CN0Z6 Extirpation of Matter from Left External Carotid Artery, Bifurcation, Open Approach
Add:         03CN3Z6 Extirpation of Matter from Left External Carotid Artery, Bifurcation, Percutaneous Approach
Add:         03CN4Z6 Extirpation of Matter from Left External Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CP0Z6 Extirpation of Matter from Right Vertebral Artery, Bifurcation, Open Approach
Add:         03CP3Z6 Extirpation of Matter from Right Vertebral Artery, Bifurcation, Percutaneous Approach
Add:         03CP4Z6 Extirpation of Matter from Right Vertebral Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CQ0Z6 Extirpation of Matter from Left Vertebral Artery, Bifurcation, Open Approach
Add:         03CQ3Z6 Extirpation of Matter from Left Vertebral Artery, Bifurcation, Percutaneous Approach
Add:         03CQ4Z6 Extirpation of Matter from Left Vertebral Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CR0Z6 Extirpation of Matter from Face Artery, Bifurcation, Open Approach
Add:         03CR3Z6 Extirpation of Matter from Face Artery, Bifurcation, Percutaneous Approach
Add:         03CR4Z6 Extirpation of Matter from Face Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CS0Z6 Extirpation of Matter from Right Temporal Artery, Bifurcation, Open Approach
Add:         03CS3Z6 Extirpation of Matter from Right Temporal Artery, Bifurcation, Percutaneous Approach
Add:         03CS4Z6 Extirpation of Matter from Right Temporal Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CT0Z6 Extirpation of Matter from Left Temporal Artery, Bifurcation, Open Approach
Add:         03CT3Z6 Extirpation of Matter from Left Temporal Artery, Bifurcation, Percutaneous Approach
Add:         03CT4Z6 Extirpation of Matter from Left Temporal Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CU0Z6 Extirpation of Matter from Right Thyroid Artery, Bifurcation, Open Approach
Add:         03CU3Z6 Extirpation of Matter from Right Thyroid Artery, Bifurcation, Percutaneous Approach
Add:         03CU4Z6 Extirpation of Matter from Right Thyroid Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CV0Z6 Extirpation of Matter from Left Thyroid Artery, Bifurcation, Open Approach
Add:         03CV3Z6 Extirpation of Matter from Left Thyroid Artery, Bifurcation, Percutaneous Approach
Add:         03CV4Z6 Extirpation of Matter from Left Thyroid Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         03CY0Z6 Extirpation of Matter from Upper Artery, Bifurcation, Open Approach
Add:         03CY3Z6 Extirpation of Matter from Upper Artery, Bifurcation, Percutaneous Approach
Add:         03CY4Z6 Extirpation of Matter from Upper Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         0470046 Dilation of Abdominal Aorta, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Add:         0470056 Dilation of Abdominal Aorta, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047005Z Dilation of Abdominal Aorta with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         0470066 Dilation of Abdominal Aorta, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047006Z Dilation of Abdominal Aorta with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         0470076 Dilation of Abdominal Aorta, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047007Z Dilation of Abdominal Aorta with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         04700D6 Dilation of Abdominal Aorta, Bifurcation, with Intraluminal Device, Open Approach
Add:         04700E6 Dilation of Abdominal Aorta, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         04700EZ Dilation of Abdominal Aorta with Two Intraluminal Devices, Open Approach
Add:         04700F6 Dilation of Abdominal Aorta, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         04700FZ Dilation of Abdominal Aorta with Three Intraluminal Devices, Open Approach
Add:         04700G6 Dilation of Abdominal Aorta, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         04700GZ Dilation of Abdominal Aorta with Four or More Intraluminal Devices, Open Approach
Add:         04700Z6 Dilation of Abdominal Aorta, Bifurcation, Open Approach
Add:         0470346 Dilation of Abdominal Aorta, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         0470356 Dilation of Abdominal Aorta, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047035Z Dilation of Abdominal Aorta with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0470366 Dilation of Abdominal Aorta, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047036Z Dilation of Abdominal Aorta with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0470376 Dilation of Abdominal Aorta, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047037Z Dilation of Abdominal Aorta with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         04703D6 Dilation of Abdominal Aorta, Bifurcation, with Intraluminal Device, Percutaneous Approach
Add:         04703E6 Dilation of Abdominal Aorta, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         04703EZ Dilation of Abdominal Aorta with Two Intraluminal Devices, Percutaneous Approach
Add:         04703F6 Dilation of Abdominal Aorta, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         04703FZ Dilation of Abdominal Aorta with Three Intraluminal Devices, Percutaneous Approach
Add:         04703G6 Dilation of Abdominal Aorta, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         04703GZ Dilation of Abdominal Aorta with Four or More Intraluminal Devices, Percutaneous Approach
